Family;Name;Title;Priority;Impact;Description;SupplementarGuidance;Related
SYSTEM AND COMMUNICATIONS PROTECTION;SC-7 (19);BLOCKS COMMUNICATION FROM NON-ORGANIZATIONALLY CONFIGURED HOSTS;P1;HIGH;The information system blocks both inbound and outbound communications traffic between [Assignment: organization-defined communication clients] that are independently configured by end users and external service providers.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-7 (20);DYNAMIC ISOLATION / SEGREGATION;P1;HIGH;The information system provides the capability to dynamically isolate/segregate [Assignment: organization-defined information system components] from other components of the system.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-7 (21);ISOLATION OF INFORMATION SYSTEM COMPONENTS;P1;HIGH;The organization employs boundary protection mechanisms to separate [Assignment: organization-defined information system components] supporting [Assignment: organization-defined missions and/or business functions].;Organizations can isolate information system components performing different missions and/or business functions. Such isolation limits unauthorized information flows among system components and also provides the opportunity to deploy greater levels of protection for selected components. Separating system components with boundary protection mechanisms provides the capability for increased protection of individual components and to more effectively control information flows between those components. This type of enhanced protection limits the potential harm from cyber attacks and errors. The degree of separation provided varies depending upon the mechanisms chosen. Boundary protection mechanisms include, for example, routers, gateways, and firewalls separating system components into physically separate networks or subnetworks, cross-domain devices separating subnetworks, virtualization techniques, and encrypting information flows among system components using distinct encryption keys.;CA-9,SC-3
SYSTEM AND COMMUNICATIONS PROTECTION;SC-7 (22);SEPARATE SUBNETS FOR CONNECTING TO DIFFERENT SECURITY DOMAINS;P1;HIGH;The information system implements separate network addresses (i.e., different subnets) to connect to systems in different security domains.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-7 (23);DISABLE SENDER FEEDBACK ON PROTOCOL VALIDATION FAILURE;P1;HIGH;The information system disables feedback to senders on protocol format validation failure.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-8;TRANSMISSION CONFIDENTIALITY AND INTEGRITY;P1;MODERATE,HIGH;The information system protects the [Selection (one or more): confidentiality, integrity] of transmitted information.;This control applies to both internal and external networks and all types of information system components from which information can be transmitted (e.g., servers, mobile devices, notebook computers, printers, copiers, scanners, facsimile machines). Communication paths outside the physical protection of a controlled boundary are exposed to the possibility of interception and modification. Protecting the confidentiality and/or integrity of organizational information can be accomplished by physical means (e.g., by employing protected distribution systems) or by logical means (e.g., employing encryption techniques). Organizations relying on commercial providers offering transmission services as commodity services rather than as fully dedicated services (i.e., services which can be highly specialized to individual customer needs), may find it difficult to obtain the necessary assurances regarding the implementation of needed security controls for transmission confidentiality/integrity. In such situations, organizations determine what types of confidentiality/integrity services are available in standard, commercial telecommunication service packages. If it is infeasible or impractical to obtain the necessary security controls and assurances of control effectiveness through appropriate contracting vehicles, organizations implement appropriate compensating security controls or explicitly accept the additional risk.;AC-17,PE-4
SYSTEM AND COMMUNICATIONS PROTECTION;SC-8 (1);CRYPTOGRAPHIC OR ALTERNATE PHYSICAL PROTECTION;P1;MODERATE,HIGH;The information system implements cryptographic mechanisms to [Selection (one or more): prevent unauthorized disclosure of information, detect changes to information] during transmission unless otherwise protected by [Assignment: organization-defined alternative physical safeguards].;Encrypting information for transmission protects information from unauthorized disclosure and modification. Cryptographic mechanisms implemented to protect information integrity include, for example, cryptographic hash functions which have common application in digital signatures, checksums, and message authentication codes. Alternative physical security safeguards include, for example, protected distribution systems.;SC-13
SYSTEM AND COMMUNICATIONS PROTECTION;SC-8 (2);PRE / POST TRANSMISSION HANDLING;P1;MODERATE,HIGH;The information system maintains the [Selection (one or more): confidentiality, integrity] of information during preparation for transmission and during reception.;Information can be either unintentionally or maliciously disclosed or modified during preparation for transmission or during reception including, for example, during aggregation, at protocol transformation points, and during packing/unpacking. These unauthorized disclosures or modifications compromise the confidentiality or integrity of the information.;AU-10
SYSTEM AND COMMUNICATIONS PROTECTION;SC-8 (3);CRYPTOGRAPHIC PROTECTION FOR MESSAGE EXTERNALS;P1;MODERATE,HIGH;The information system implements cryptographic mechanisms to protect message externals unless otherwise protected by [Assignment: organization-defined alternative physical safeguards].;This control enhancement addresses protection against unauthorized disclosure of information. Message externals include, for example, message headers/routing information. This control enhancement prevents the exploitation of message externals and applies to both internal and external networks or links that may be visible to individuals who are not authorized users. Header/routing information is sometimes transmitted unencrypted because the information is not properly identified by organizations as having significant value or because encrypting the information can result in lower network performance and/or higher costs. Alternative physical safeguards include, for example, protected distribution systems.;SC-12,SC-13
SYSTEM AND COMMUNICATIONS PROTECTION;SC-8 (4);CONCEAL / RANDOMIZE COMMUNICATIONS;P1;MODERATE,HIGH;The information system implements cryptographic mechanisms to conceal or randomize communication patterns unless otherwise protected by [Assignment: organization-defined alternative physical safeguards].;This control enhancement addresses protection against unauthorized disclosure of information. Communication patterns include, for example, frequency, periods, amount, and predictability. Changes to communications patterns can reveal information having intelligence value especially when combined with other available information related to missions/business functions supported by organizational information systems. This control enhancement prevents the derivation of intelligence based on communications patterns and applies to both internal and external networks or links that may be visible to individuals who are not authorized users. Encrypting the links and transmitting in continuous, fixed/random patterns prevents the derivation of intelligence from the system communications patterns. Alternative physical safeguards include, for example, protected distribution systems.;SC-12,SC-13
SYSTEM AND COMMUNICATIONS PROTECTION;SC-9;TRANSMISSION CONFIDENTIALITY;P1;MODERATE,HIGH;[Withdrawn: Incorporated into SC-8].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-10;NETWORK DISCONNECT;P2;MODERATE,HIGH;The information system terminates the network connection associated with a communications session at the end of the session or after [Assignment: organization-defined time period] of inactivity.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-11;TRUSTED PATH;P0;MODERATE,HIGH;The information system establishes a trusted communications path between the user and the following security functions of the system: [Assignment: organization-defined security functions to include at a minimum, information system authentication and re-authentication].;Trusted paths are mechanisms by which users (through input devices) can communicate directly with security functions of information systems with the requisite assurance to support information security policies. The mechanisms can be activated only by users or the security functions of organizational information systems. User responses via trusted paths are protected from modifications by or disclosure to untrusted applications. Organizations employ trusted paths for high-assurance connections between security functions of information systems and users (e.g., during system logons). Enforcement of trusted communications paths is typically provided via an implementation that meets the reference monitor concept.;AC-16,AC-25
SYSTEM AND COMMUNICATIONS PROTECTION;SC-11 (1);LOGICAL ISOLATION;P0;MODERATE,HIGH;The information system provides a trusted communications path that is logically isolated and distinguishable from other paths.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-12;CRYPTOGRAPHIC KEY ESTABLISHMENT AND MANAGEMENT;P1;LOW,MODERATE,HIGH;The organization establishes and manages cryptographic keys for required cryptography employed within the information system in accordance with [Assignment: organization-defined requirements for key generation, distribution, storage, access, and destruction].;Cryptographic key management and establishment can be performed using manual procedures or automated mechanisms with supporting manual procedures. Organizations define key management requirements in accordance with applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance, specifying appropriate options, levels, and parameters. Organizations manage trust stores to ensure that only approved trust anchors are in such trust stores. This includes certificates with visibility external to organizational information systems and certificates related to the internal operations of systems.;SC-13,SC-17
SYSTEM AND COMMUNICATIONS PROTECTION;SC-12 (1);AVAILABILITY;P1;HIGH;The organization maintains availability of information in the event of the loss of cryptographic keys by users.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-12 (2);SYMMETRIC KEYS;P1;HIGH;The organization produces, controls, and distributes symmetric cryptographic keys using [Selection: NIST FIPS-compliant, NSA-approved] key management technology and processes.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-12 (3);ASYMMETRIC KEYS;P1;HIGH;The organization produces, controls, and distributes asymmetric cryptographic keys using [Selection: NSA-approved key management technology and processes, approved PKI Class 3 certificates or prepositioned keying material, approved PKI Class 3 or Class 4 certificates and hardware security tokens that protect the userï¿½s private key].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-12 (4);PKI CERTIFICATES;P1;HIGH;[Withdrawn: Incorporated into SC-12].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-12 (5);PKI CERTIFICATES / HARDWARE TOKENS;P1;HIGH;[Withdrawn: Incorporated into SC-12].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-13;CRYPTOGRAPHIC PROTECTION;P1;LOW,MODERATE,HIGH;The information system implements [Assignment: organization-defined cryptographic uses and type of cryptography required for each use] in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, and standards.;Cryptography can be employed to support a variety of security solutions including, for example, the protection of classified and Controlled Unclassified Information, the provision of digital signatures, and the enforcement of information separation when authorized individuals have the necessary clearances for such information but lack the necessary formal access approvals. Cryptography can also be used to support random number generation and hash generation. Generally applicable cryptographic standards include FIPS-validated cryptography and NSA-approved cryptography. This control does not impose any requirements on organizations to use cryptography. However, if cryptography is required based on the selection of other security controls, organizations define each type of cryptographic use and the type of cryptography required (e.g., protection of classified information: NSA-approved cryptography, provision of digital signatures: FIPS-validated cryptography).;AC-2,AC-3,AC-7,AC-17,AC-18,AU-9,AU-10,CM-11,CP-9,IA-3,IA-7,MA-4,MP-2,MP-4,MP-5,SA-4,SC-8,SC-12,SC-28,SI-7
SYSTEM AND COMMUNICATIONS PROTECTION;SC-13 (1);FIPS-VALIDATED CRYPTOGRAPHY;P1;LOW,MODERATE,HIGH;[Withdrawn: Incorporated into SC-13].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-13 (2);NSA-APPROVED CRYPTOGRAPHY;P1;LOW,MODERATE,HIGH;[Withdrawn: Incorporated into SC-13].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-13 (3);INDIVIDUALS WITHOUT FORMAL ACCESS  APPROVALS;P1;LOW,MODERATE,HIGH;[Withdrawn: Incorporated into SC-13].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-13 (4);DIGITAL SIGNATURES;P1;LOW,MODERATE,HIGH;[Withdrawn: Incorporated into SC-13].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-14;PUBLIC ACCESS PROTECTIONS;P1;LOW,MODERATE,HIGH;[Withdrawn: Capability provided by AC-2, AC-3, AC-5, AC-6, SI-3, SI-4, SI-5, SI-7, SI-10].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-15;COLLABORATIVE COMPUTING DEVICES;P1;LOW,MODERATE,HIGH;The information system: Prohibits remote activation of collaborative computing devices with the following exceptions: [Assignment: organization-defined exceptions where remote activation is to be allowed], and Provides an explicit indication of use to users physically present at the devices.;Collaborative computing devices include, for example, networked white boards, cameras, and microphones. Explicit indication of use includes, for example, signals to users when collaborative computing devices are activated.;AC-21
SYSTEM AND COMMUNICATIONS PROTECTION;SC-15 (1);PHYSICAL DISCONNECT;P1;LOW,MODERATE,HIGH;The information system provides physical disconnect of collaborative computing devices in a manner that supports ease of use.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-15 (2);BLOCKING INBOUND / OUTBOUND COMMUNICATIONS TRAFFIC;P1;LOW,MODERATE,HIGH;[Withdrawn: Incorporated into SC-7].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-15 (3);DISABLING / REMOVAL IN SECURE WORK AREAS;P1;LOW,MODERATE,HIGH;The organization disables or removes collaborative computing devices from [Assignment: organization-defined information systems or information system components] in [Assignment: organization-defined secure work areas].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-15 (4);EXPLICITLY INDICATE CURRENT PARTICIPANTS;P1;LOW,MODERATE,HIGH;The information system provides an explicit indication of current participants in [Assignment: organization-defined online meetings and teleconferences].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-16;TRANSMISSION OF SECURITY ATTRIBUTES;P0;LOW,MODERATE,HIGH;The information system associates [Assignment: organization-defined security attributes] with information exchanged between information systems and between system components.;Security attributes can be explicitly or implicitly associated with the information contained in organizational information systems or system components.;AC-3,AC-4,AC-16
SYSTEM AND COMMUNICATIONS PROTECTION;SC-16 (1);INTEGRITY VALIDATION;P0;LOW,MODERATE,HIGH;The information system validates the integrity of transmitted security attributes.;This control enhancement ensures that the verification of the integrity of transmitted information includes security attributes.;AU-10,SC-8
SYSTEM AND COMMUNICATIONS PROTECTION;SC-17;PUBLIC KEY INFRASTRUCTURE CERTIFICATES;P1;MODERATE,HIGH;The organization issues public key certificates under an [Assignment: organization-defined certificate policy] or obtains public key certificates from an approved service provider.;For all certificates, organizations manage information system trust stores to ensure only approved trust anchors are in the trust stores. This control addresses both certificates with visibility external to organizational information systems and certificates related to the internal operations of systems, for example, application-specific time services.;SC-12
SYSTEM AND COMMUNICATIONS PROTECTION;SC-18;MOBILE CODE;P2;MODERATE,HIGH;The organization: Defines acceptable and unacceptable mobile code and mobile code technologies, Establishes usage restrictions and implementation guidance for acceptable mobile code and mobile code technologies, and Authorizes, monitors, and controls the use of mobile code within the information system.;Decisions regarding the employment of mobile code within organizational information systems are based on the potential for the code to cause damage to the systems if used maliciously. Mobile code technologies include, for example, Java, JavaScript, ActiveX, Postscript, PDF, Shockwave movies, Flash animations, and VBScript. Usage restrictions and implementation guidance apply to both the selection and use of mobile code installed on servers and mobile code downloaded and executed on individual workstations and devices (e.g., smart phones). Mobile code policy and procedures address preventing the development, acquisition, or introduction of unacceptable mobile code within organizational information systems.;AU-2,AU-12,CM-2,CM-6,SI-3
SYSTEM AND COMMUNICATIONS PROTECTION;SC-18 (1);IDENTIFY UNACCEPTABLE CODE / TAKE CORRECTIVE ACTIONS;P2;MODERATE,HIGH;The information system identifies [Assignment: organization-defined unacceptable mobile code] and takes [Assignment: organization-defined corrective actions].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-18 (2);ACQUISITION / DEVELOPMENT / USE;P2;MODERATE,HIGH;The organization ensures that the acquisition, development, and use of mobile code to be deployed in the information system meets [Assignment: organization-defined mobile code requirements].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-18 (3);PREVENT DOWNLOADING / EXECUTION;P2;MODERATE,HIGH;The information system prevents the download and execution of [Assignment: organization-defined unacceptable mobile code].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-18 (4);PREVENT AUTOMATIC EXECUTION;P2;MODERATE,HIGH;The information system prevents the automatic execution of mobile code in [Assignment: organization-defined software applications] and enforces [Assignment: organization-defined actions] prior to executing the code.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-18 (5);ALLOW EXECUTION ONLY IN CONFINED ENVIRONMENTS;P2;MODERATE,HIGH;The organization allows execution of permitted mobile code only in confined virtual machine environments.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-19;VOICE OVER INTERNET PROTOCOL;P1;MODERATE,HIGH;The organization: Establishes usage restrictions and implementation guidance for Voice over Internet Protocol (VoIP) technologies based on the potential to cause damage to the information system if used maliciously, and Authorizes, monitors, and controls the use of VoIP within the information system.;NaN;CM-6,SC-7,SC-15
SYSTEM AND COMMUNICATIONS PROTECTION;SC-20;SECURE NAME / ADDRESS RESOLUTION SERVICE (AUTHORITATIVE SOURCE);P1;LOW,MODERATE,HIGH;The information system: Provides additional data origin authentication and integrity verification artifacts along with the authoritative name resolution data the system returns in response to external name/address resolution queries, and Provides the means to indicate the security status of child zones and (if the child supports secure resolution services) to enable verification of a chain of trust among parent and child domains, when operating as part of a distributed, hierarchical namespace.;This control enables external clients including, for example, remote Internet clients, to obtain origin authentication and integrity verification assurances for the host/service name to network address resolution information obtained through the service. Information systems that provide name and address resolution services include, for example, domain name system (DNS) servers. Additional artifacts include, for example, DNS Security (DNSSEC) digital signatures and cryptographic keys. DNS resource records are examples of authoritative data. The means to indicate the security status of child zones includes, for example, the use of delegation signer resource records in the DNS. The DNS security controls reflect (and are referenced from) OMB Memorandum 08-23. Information systems that use technologies other than the DNS to map between host/service names and network addresses provide other means to assure the authenticity and integrity of response data.;AU-10,SC-8,SC-12,SC-13,SC-21,SC-22
SYSTEM AND COMMUNICATIONS PROTECTION;SC-20 (1);CHILD SUBSPACES;P1;LOW,MODERATE,HIGH;[Withdrawn: Incorporated into SC-20].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-20 (2);DATA ORIGIN / INTEGRITY;P1;LOW,MODERATE,HIGH;The information system provides data origin and integrity protection artifacts for internal name/address resolution queries.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-21;SECURE NAME / ADDRESS RESOLUTION SERVICE (RECURSIVE OR CACHING RESOLVER);P1;LOW,MODERATE,HIGH;The information system requests and performs data origin authentication and data integrity verification on the name/address resolution responses the system receives from authoritative sources.;Each client of name resolution services either performs this validation on its own, or has authenticated channels to trusted validation providers. Information systems that provide name and address resolution services for local clients include, for example, recursive resolving or caching domain name system (DNS) servers. DNS client resolvers either perform validation of DNSSEC signatures, or clients use authenticated channels to recursive resolvers that perform such validations. Information systems that use technologies other than the DNS to map between host/service names and network addresses provide other means to enable clients to verify the authenticity and integrity of response data.;SC-20,SC-22
SYSTEM AND COMMUNICATIONS PROTECTION;SC-21 (1);DATA ORIGIN / INTEGRITY;P1;LOW,MODERATE,HIGH;[Withdrawn: Incorporated into SC-21].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-22;ARCHITECTURE AND PROVISIONING FOR NAME / ADDRESS RESOLUTION SERVICE;P1;LOW,MODERATE,HIGH;The information systems that collectively provide name/address resolution service for an organization are fault-tolerant and implement internal/external role separation.;Information systems that provide name and address resolution services include, for example, domain name system (DNS) servers. To eliminate single points of failure and to enhance redundancy, organizations employ at least two authoritative domain name system servers, one configured as the primary server and the other configured as the secondary server. Additionally, organizations typically deploy the servers in two geographically separated network subnetworks (i.e., not located in the same physical facility). For role separation, DNS servers with internal roles only process name and address resolution requests from within organizations (i.e., from internal clients). DNS servers with external roles only process name and address resolution information requests from clients external to organizations (i.e., on external networks including the Internet). Organizations specify clients that can access authoritative DNS servers in particular roles (e.g., by address ranges, explicit lists).;SC-2,SC-20,SC-21,SC-24
SYSTEM AND COMMUNICATIONS PROTECTION;SC-23;SESSION AUTHENTICITY;P1;MODERATE,HIGH;The information system protects the authenticity of communications sessions.;This control addresses communications protection at the session, versus packet level (e.g., sessions in service-oriented architectures providing web-based services) and establishes grounds for confidence at both ends of communications sessions in ongoing identities of other parties and in the validity of information transmitted. Authenticity protection includes, for example, protecting against man-in-the-middle attacks/session hijacking and the insertion of false information into sessions.;SC-8,SC-10,SC-11
SYSTEM AND COMMUNICATIONS PROTECTION;SC-23 (1);INVALIDATE SESSION IDENTIFIERS AT LOGOUT;P1;MODERATE,HIGH;The information system invalidates session identifiers upon user logout or other session termination.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-23 (2);USER-INITIATED LOGOUTS / MESSAGE DISPLAYS;P1;MODERATE,HIGH;[Withdrawn: Incorporated into AC-12 (1)].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-23 (3);UNIQUE SESSION IDENTIFIERS WITH RANDOMIZATION;P1;MODERATE,HIGH;The information system generates a unique session identifier for each session with [Assignment: organization-defined randomness requirements] and recognizes only session identifiers that are system-generated. [Withdrawn: Incorporated into SC-23 (3)].;This control enhancement curtails the ability of adversaries from reusing previously valid session IDs. Employing the concept of randomness in the generation of unique session identifiers helps to protect against brute-force attacks to determine future session identifiers.;SC-13
SYSTEM AND COMMUNICATIONS PROTECTION;SC-23 (5);ALLOWED CERTIFICATE AUTHORITIES;P1;MODERATE,HIGH;The information system only allows the use of [Assignment: organization-defined certificate authorities] for verification of the establishment of protected sessions.;Reliance on certificate authorities (CAs) for the establishment of secure sessions includes, for example, the use of Secure Socket Layer (SSL) and/or Transport Layer Security (TLS) certificates. These certificates, after verification by the respective certificate authorities, facilitate the establishment of protected sessions between web clients and web servers.;SC-13
SYSTEM AND COMMUNICATIONS PROTECTION;SC-24;FAIL IN KNOWN STATE;P1;HIGH;The information system fails to a [Assignment: organization-defined known-state] for [Assignment: organization-defined types of failures] preserving [Assignment: organization-defined system state information] in failure.;Failure in a known state addresses security concerns in accordance with the mission/business needs of organizations. Failure in a known secure state helps to prevent the loss of confidentiality, integrity, or availability of information in the event of failures of organizational information systems or system components. Failure in a known safe state helps to prevent systems from failing to a state that may cause injury to individuals or destruction to property. Preserving information system state information facilitates system restart and return to the operational mode of organizations with less disruption of mission/business processes.;CP-2,CP-10,CP-12,SC-7,SC-22
SYSTEM AND COMMUNICATIONS PROTECTION;SC-25;THIN NODES;P0;HIGH;The organization employs [Assignment: organization-defined information system components] with minimal functionality and information storage.;The deployment of information system components with reduced/minimal functionality (e.g., diskless nodes and thin client technologies) reduces the need to secure every user endpoint, and may reduce the exposure of information, information systems, and services to cyber attacks.;SC-30
SYSTEM AND COMMUNICATIONS PROTECTION;SC-26;HONEYPOTS;P0;HIGH;The information system includes components specifically designed to be the target of malicious attacks for the purpose of detecting, deflecting, and analyzing such attacks.;A honeypot is set up as a decoy to attract adversaries and to deflect their attacks away from the operational systems supporting organizational missions/business function. Depending upon the specific usage of the honeypot, consultation with the Office of the General Counsel before deployment may be needed.;SC-30,SC-44,SI-3,SI-4
SYSTEM AND COMMUNICATIONS PROTECTION;SC-26 (1);DETECTION OF MALICIOUS CODE;P0;HIGH;[Withdrawn: Incorporated into SC-35].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-27;PLATFORM-INDEPENDENT APPLICATIONS;P0;HIGH;The information system includes: [Assignment: organization-defined platform-independent applications].;Platforms are combinations of hardware and software used to run software applications. Platforms include: (i) operating systems, (ii) the underlying computer architectures, or (iii) both. Platform-independent applications are applications that run on multiple platforms. Such applications promote portability and reconstitution on different platforms, increasing the availability of critical functions within organizations while information systems with specific operating systems are under attack.;SC-29
SYSTEM AND COMMUNICATIONS PROTECTION;SC-28;PROTECTION OF INFORMATION AT REST;P1;MODERATE,HIGH;The information system protects the [Selection (one or more): confidentiality, integrity] of [Assignment: organization-defined information at rest].;This control addresses the confidentiality and integrity of information at rest and covers user information and system information. Information at rest refers to the state of information when it is located on storage devices as specific components of information systems. System-related information requiring protection includes, for example, configurations or rule sets for firewalls, gateways, intrusion detection/prevention systems, filtering routers, and authenticator content. Organizations may employ different mechanisms to achieve confidentiality and integrity protections, including the use of cryptographic mechanisms and file share scanning. Integrity protection can be achieved, for example, by implementing Write-Once-Read-Many (WORM) technologies. Organizations may also employ other security controls including, for example, secure off-line storage in lieu of online storage when adequate protection of information at rest cannot otherwise be achieved and/or continuous monitoring to identify malicious code at rest.;AC-3,AC-6,CA-7,CM-3,CM-5,CM-6,PE-3,SC-8,SC-13,SI-3,SI-7
SYSTEM AND COMMUNICATIONS PROTECTION;SC-28 (1);CRYPTOGRAPHIC PROTECTION;P1;MODERATE,HIGH;The information system implements cryptographic mechanisms to prevent unauthorized disclosure and modification of [Assignment: organization-defined information] on [Assignment: organization-defined information system components].;Selection of cryptographic mechanisms is based on the need to protect the confidentiality and integrity of organizational information. The strength of mechanism is commensurate with the security category and/or classification of the information. This control enhancement applies to significant concentrations of digital media in organizational areas designated for media storage and also to limited quantities of media generally associated with information system components in operational environments (e.g., portable storage devices, mobile devices). Organizations have the flexibility to either encrypt all information on storage devices (i.e., full disk encryption) or encrypt specific data structures (e.g., files, records, or fields). Organizations employing cryptographic mechanisms to protect information at rest also consider cryptographic key management solutions.;AC-19,SC-12
SYSTEM AND COMMUNICATIONS PROTECTION;SC-28 (2);OFF-LINE STORAGE;P1;MODERATE,HIGH;The organization removes from online storage and stores off-line in a secure location [Assignment: organization-defined information].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-29;HETEROGENEITY;P0;MODERATE,HIGH;The organization employs a diverse set of information technologies for [Assignment: organization-defined information system components] in the implementation of the information system.;Increasing the diversity of information technologies within organizational information systems reduces the impact of potential exploitations of specific technologies and also defends against common mode failures, including those failures induced by supply chain attacks. Diversity in information technologies also reduces the likelihood that the means adversaries use to compromise one information system component will be equally effective against other system components, thus further increasing the adversary work factor to successfully complete planned cyber attacks. An increase in diversity may add complexity and management overhead which could ultimately lead to mistakes and unauthorized configurations.;SA-12,SA-14,SC-27
SYSTEM AND COMMUNICATIONS PROTECTION;SC-29 (1);VIRTUALIZATION TECHNIQUES;P0;MODERATE,HIGH;The organization employs virtualization techniques to support the deployment of a diversity of operating systems and applications that are changed [Assignment: organization-defined frequency].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-30;CONCEALMENT AND MISDIRECTION;P0;MODERATE,HIGH;The organization employs [Assignment: organization-defined concealment and misdirection techniques] for [Assignment: organization-defined information systems] at [Assignment: organization-defined time periods] to confuse and mislead adversaries.;Concealment and misdirection techniques can significantly reduce the targeting capability of adversaries (i.e., window of opportunity and available attack surface) to initiate and complete cyber attacks. For example, virtualization techniques provide organizations with the ability to disguise information systems, potentially reducing the likelihood of successful attacks without the cost of having multiple platforms. Increased use of concealment/misdirection techniques including, for example, randomness, uncertainty, and virtualization, may sufficiently confuse and mislead adversaries and subsequently increase the risk of discovery and/or exposing tradecraft. Concealment/misdirection techniques may also provide organizations additional time to successfully perform core missions and business functions. Because of the time and effort required to support concealment/misdirection techniques, it is anticipated that such techniques would be used by organizations on a very limited basis.;SC-26,SC-29,SI-14
SYSTEM AND COMMUNICATIONS PROTECTION;SC-30 (1);VIRTUALIZATION TECHNIQUES;P0;MODERATE,HIGH;[Withdrawn: Incorporated into SC-29 (1)].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-30 (2);RANDOMNESS;P0;MODERATE,HIGH;The organization employs [Assignment: organization-defined techniques] to introduce randomness into organizational operations and assets.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-30 (3);CHANGE PROCESSING / STORAGE LOCATIONS;P0;MODERATE,HIGH;The organization changes the location of [Assignment: organization-defined processing and/or storage] [Selection: [Assignment: organization-defined time frequency], at random time intervals]].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-30 (4);MISLEADING INFORMATION;P0;MODERATE,HIGH;The organization employs realistic, but misleading information in [Assignment: organization-defined information system components] with regard to its security state or posture.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-30 (5);CONCEALMENT OF SYSTEM COMPONENTS;P0;MODERATE,HIGH;The organization employs [Assignment: organization-defined techniques] to hide or conceal [Assignment: organization-defined information system components].;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-31;COVERT CHANNEL ANALYSIS;P0;MODERATE,HIGH;The organization:;Developers are in the best position to identify potential areas within systems that might lead to covert channels. Covert channel analysis is a meaningful activity when there is the potential for unauthorized information flows across security domains, for example, in the case of information systems containing export-controlled information and having connections to external networks (i.e., networks not controlled by organizations). Covert channel analysis is also meaningful for multilevel secure (MLS) information systems, multiple security level (MSL) systems, and cross-domain systems.;AC-3,AC-4,PL-2
SYSTEM AND COMMUNICATIONS PROTECTION;SC-31a.;COVERT CHANNEL ANALYSIS;P0;MODERATE,HIGH;Performs a covert channel analysis to identify those aspects of communications within the information system that are potential avenues for covert [Selection (one or more): storage, timing] channels, and Estimates the maximum bandwidth of those channels.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-31 (1);TEST COVERT CHANNELS FOR EXPLOITABILITY;P0;MODERATE,HIGH;The organization tests a subset of the identified covert channels to determine which channels are exploitable.;NaN;NaN
SYSTEM AND COMMUNICATIONS PROTECTION;SC-31 (2);MAXIMUM BANDWIDTH;P0;MODERATE,HIGH;The organization reduces the maximum bandwidth for identified covert [Selection (one or more), storage, timing] channels to [Assignment: organization-defined values].;NaN;NaN
